GivenName,Surname,StreetAddress,City,State,ZipCode,EmailAddress,Gender,BloodType,Pounds
Jason,Haag,3136 Hillview Street,Beaufort,SC,29902,JasonEHaag@dodgit.com,male,O-,180.8
Margaret,Brown,3083 Libby Street,San Pedro,CA,90731,MargaretWBrown@trashymail.com,female,A+,121.7
Esther,Bishop,4344 Drummond Street,Newark,NJ,07102,EstherLBishop@trashymail.com,female,B-,210.3
Virginia,Frederick,558 Deer Ridge Drive,Wayne,NJ,07477,VirginiaEFrederick@spambob.com,female,A+,108.5
Barbara,Wilson,26 Edgewood Road,Fulton,AR,71838,BarbaraJWilson@trashymail.com,female,O+,198
Marlene,Oliver,1870 Alexander Drive,Arlington,TX,76011,MarleneJOliver@dodgit.com,female,B+,185
Mary,Schrader,663 Pennsylvania Avenue,Lyndhurst,NJ,07071,MaryRSchrader@mailinator.com,female,O+,181.9
Angeline,Knox,3239 Doe Meadow Drive,Baltimore,MD,21202,AngelineAKnox@spambob.com,female,O+,198.9
William,Plunkett,2816 Tyler Avenue,Marathon,FL,33050,WilliamCPlunkett@dodgit.com,male,O+,222.6
Regina,Dutton,1768 Victoria Street,Baton Rouge,LA,70815,ReginaRDutton@trashymail.com,female,B+,213.6
Alicia,Pressnell,2957 Veltri Drive,Anchorage,AK,99501,AliciaJPressnell@trashymail.com,female,B+,205.9
Mary,Beery,564 Court Street,Saint Charles,MO,63301,MaryRBeery@dodgit.com,female,O+,203.7
Virginia,Bullock,3435 McKinley Avenue,Greenwood Village,CO,80111,VirginiaBBullock@dodgit.com,female,B+,184.6
Gregory,Cassell,13 Vineyard Drive,Rocky River,OH,44116,GregoryVCassell@pookmail.com,male,B+,167.9
Lucinda,Randall,2572 Steve Hunt Road,Miami Springs,FL,33166,LucindaSRandall@pookmail.com,female,A+,148.3
Danny,Grace,2385 Lake Road,Atlantic City,NJ,08401,DannyEGrace@mailinator.com,male,O-,155.1
Elizabeth,Brewer,4310 Brooke Street,Houston,TX,77020,ElizabethBBrewer@mailinator.com,female,AB+,119
Pauline,Ramirez,1948 Lewis Street,Downers Grove,IL,60515,PaulineTRamirez@pookmail.com,female,A+,119.9
Anthony,Cox,1189 Pinewood Avenue,Marquette,MI,49855,AnthonyDCox@trashymail.com,male,O+,156.9
Marian,Garner,424 Woodbridge Lane,Detroit,MI,48219,MarianTGarner@pookmail.com,female,A+,182.8
Linda,Stringer,845 Nixon Avenue,Chattanooga,TN,37450,LindaKStringer@pookmail.com,female,O+,142.3
Laura,Echols,4758 Green Street,Nashville,TN,37211,LauraJEchols@mailinator.com,female,A+,142.8
Anna,Wolf,3949 Tetrick Road,Tampa,FL,33610,AnnaRWolf@dodgit.com,female,B+,211.6
Katherine,Shuey,705 Friendship Lane,Oakland,CA,94612,KatherineJShuey@trashymail.com,female,AB+,141.2
Sara,Christiano,979 Peck Street,Portsmouth,NH,03801,SaraSChristiano@dodgit.com,female,A+,169.4
Steve,Gibbs,2121 Primrose Lane,Madison,WI,53703,SteveMGibbs@dodgit.com,male,O+,168.5
Damon,Truax,1730 Willow Oaks Lane,Lake Charles,LA,70601,DamonMTruax@dodgit.com,male,B+,228.4
Donna,Bratcher,3665 Stanley Avenue,New York,NY,10011,DonnaDBratcher@spambob.com,female,A+,117.5
Jim,Lewis,1294 Java Lane,North Augusta,SC,29841,JimSLewis@spambob.com,male,O+,154.4
Roderick,Vigil,4056 Harrison Street,Oakland,CA,94612,RoderickTVigil@spambob.com,male,O+,243.8
Lacy,Bahr,3589 Burning Memory Lane,Bensalem,PA,19020,LacyVBahr@trashymail.com,male,A-,237.6
Laura,Connor,4883 Austin Avenue,Savannah,GA,31401,LauraHConnor@spambob.com,female,B+,121
George,Hackworth,394 Java Lane,Aiken,SC,29801,GeorgeDHackworth@spambob.com,male,A+,158.8
Wanda,Atkinson,3069 Oakmound Drive,Chicago,IL,60601,WandaEAtkinson@pookmail.com,female,B+,190.7
Cynthia,Preston,3782 Glen Street,Fulton,KY,42041,CynthiaMPreston@dodgit.com,female,A+,203.3
Betty,Motley,3093 Harley Vincent Drive,Garfield Heights,OH,44128,BettyCMotley@trashymail.com,female,A+,219.3
Samantha,Chavez,2455 Oakmound Road,Chicago,IL,60620,SamanthaBChavez@dodgit.com,female,O+,153.8
Gloria,Johnson,846 Russell Street,Bolton,MA,01740,GloriaGJohnson@trashymail.com,female,A+,213.6
Madge,Swann,1086 Church Street,Elmhurst,NY,11373,MadgeJSwann@mailinator.com,female,A+,155.5
Roy,Callahan,2791 Gore Street,Houston,TX,77030,RoyTCallahan@mailinator.com,male,O+,200.4
Linda,Denney,985 Post Farm Road,Omaha,NE,68102,LindaLDenney@dodgit.com,female,A+,154.4
George,Flores,4411 West Street,Grand Rapids,MI,49503,GeorgeLFlores@mailinator.com,male,AB+,233.6
Jonnie,Taylor,1023 Timberbrook Lane,Fort Collins,CO,80525,JonnieJTaylor@trashymail.com,female,A+,183.7
Dawn,Moreno,3476 Breezewood Court,Wichita,KS,67202,DawnHMoreno@mailinator.com,female,A+,222
Robert,Mansell,3072 Cedarstone Drive,Toledo,OH,43615,RobertMMansell@pookmail.com,male,O+,252.3
Laraine,McCandless,4226 Dancing Dove Lane,New York,NY,10013,LaraineKMcCandless@mailinator.com,female,B+,154.7
Marion,Cooper,3918 Pleasant Hill Road,Gardena,CA,90248,MarionHCooper@dodgit.com,male,O-,142.6
Jose,Quinones,2714 Pearcy Avenue,Logansport,IN,46947,JoseJQuinones@spambob.com,male,O+,213.6
Elaine,Cooper,2319 Hornor Avenue,Tulsa,OK,74119,ElaineNCooper@mailinator.com,female,A+,114.4
Jimmy,Ebbert,3420 Custer Street,Punxsutawney,PA,15767,JimmyLEbbert@spambob.com,male,O+,151.8
Clayton,Jennings,1640 Glory Road,Nashville,TN,37201,ClaytonSJennings@dodgit.com,male,O+,222.6
Toby,McCarthy,2253 Cemetery Street,Salinas,CA,93901,TobySMcCarthy@dodgit.com,male,O+,168.5
James,Burris,1390 Settlers Lane,Whitestone,NY,11357,JamesNBurris@mailinator.com,male,A+,223.1
Joseph,Locker,1384 Coleman Avenue,Escondido,CA,92025,JosephPLocker@trashymail.com,male,A+,146.3
Krishna,Fry,216 Dola Mine Road,Durham,NC,27713,KrishnaNFry@mailinator.com,female,B+,172
Bruce,Caldwell,3889 Crowfield Road,Phoenix,AZ,85012,BrucePCaldwell@pookmail.com,male,A+,168.1
Roy,Mozingo,3737 Johnny Lane,Milwaukee,WI,53224,RoySMozingo@mailinator.com,male,O+,220
Jeanette,Koon,3765 Richison Drive,Alta,MT,59829,JeanetteDKoon@dodgit.com,female,O+,151.8
Jason,McKay,4236 Terry Lane,Orlando,FL,32810,JasonLMcKay@spambob.com,male,A+,188.8
Peggy,Hart,3253 Kovar Road,Franklin,MA,02038,PeggyRHart@spambob.com,female,A+,202.4
Nick,Gustafson,1973 Boundary Street,Jacksonville,FL,32211,NickSGustafson@mailinator.com,male,O+,173.8
Albert,Cate,1744 McDowell Street,Nashville,TN,37210,AlbertKCate@pookmail.com,male,O+,241.1
Chester,Steen,4085 Pratt Avenue,South Prairie,WA,98385,ChesterCSteen@pookmail.com,male,O+,230.6
Lois,Deloach,3449 Matthews Street,Forrest,IL,61741,LoisVDeloach@mailinator.com,female,O+,197.8
Thelma,Hall,598 Paradise Lane,Chino,CA,91710,ThelmaVHall@trashymail.com,female,O+,110.4
Robert,Melendrez,3866 Hill Haven Drive,Seattle,WA,98161,RobertMMelendrez@spambob.com,male,O+,247.3
Michael,Casillas,2689 Park Boulevard,Kanawha,IA,50447,MichaelLCasillas@mailinator.com,male,O+,211.4
David,John,807 Hamilton Drive,Ocean City,MD,21842,DavidTJohn@trashymail.com,male,O+,203.9
Robert,Jordan,3039 Haul Road,Mountain View,CA,94041,RobertAJordan@pookmail.com,male,B+,138.8
Juan,Adams,2181 Cecil Street,Chicago,IL,60605,JuanRAdams@mailinator.com,male,A+,152.9
Neva,Campbell,1320 Philadelphia Avenue,Layton,UT,84041,NevaGCampbell@mailinator.com,female,A+,147.2
Ebony,Ring,490 Lakeland Park Drive,Conyers,GA,30207,EbonyPRing@spambob.com,female,O+,139.9
Anthony,Hamil,1356 Clark Street,Bay Shore,NY,11706,AnthonyDHamil@trashymail.com,male,A-,235.4
George,Eagan,2552 Green Street,Brentwood,TN,37027,GeorgeKEagan@trashymail.com,male,B+,172.5
Tracy,Pearce,2358 Spruce Drive,Waynesburg,PA,15370,TracyAPearce@mailinator.com,female,O+,120.3
Elizabeth,McGill,4627 Froe Street,Huntington,WV,25701,ElizabethMMcGill@mailinator.com,female,O-,183.7
Travis,Hawkins,3493 Abner Road,Green Bay,WI,54303,TravisAHawkins@pookmail.com,male,A+,199.8
Janice,Morse,4067 Aviation Way,Burbank,CA,91504,JaniceVMorse@pookmail.com,female,B+,111.5
Sandra,Manning,2907 Geraldine Lane,New York,NY,10019,SandraWManning@dodgit.com,female,O+,137.1
Virginia,Gardner,4940 Hillhaven Drive,Gardena,CA,90247,VirginiaHGardner@trashymail.com,female,A+,164.6
Francesca,Elmore,3080 Mill Street,Greenville,SC,29601,FrancescaAElmore@pookmail.com,female,A+,189.4
Rosemary,Forst,1871 Barfield Lane,Indianapolis,IN,46250,RosemaryRForst@trashymail.com,female,A-,196
Kenneth,Velasquez,4784 Bedford Street,Bridgeport,CT,06604,KennethAVelasquez@mailinator.com,male,B+,211.6
Jimmy,Harris,312 Tetrick Road,Avon Park,FL,33825,JimmyMHarris@spambob.com,female,A+,133.3
Dorothy,Thornton,3666 Diane Street,Goleta,CA,93117,DorothyDThornton@spambob.com,female,O+,159.3
Steven,Myrick,704 Alexander Drive,Dallas,TX,75204,StevenVMyrick@dodgit.com,male,O+,185.2
Gary,Patterson,1153 Pickens Way,Texarkana,TX,75501,GaryJPatterson@spambob.com,male,A+,166.1
Glen,Harpe,3462 Masonic Hill Road,Bauxite,AR,72011,GlenPHarpe@mailinator.com,male,O+,237.6
Samantha,Holleran,680 Luke Lane,Lawton,OK,73501,SamanthaBHolleran@mailinator.com,female,A+,194
Edward,Smith,3380 Raver Croft Drive,Chattanooga,TN,37404,EdwardVSmith@trashymail.com,male,B+,180.4
George,Travis,86 Peaceful Lane,Garfield Heights,OH,44125,GeorgeDTravis@mailinator.com,male,A+,154.9
Thomas,Olson,519 Crowfield Road,Phoenix,AZ,85034,ThomasLOlson@spambob.com,male,O-,170.3
David,Angeles,1685 Seneca Drive,Salem,OR,97301,DavidKAngeles@mailinator.com,male,AB+,146.7
Jeff,Carpenter,1477 New York Avenue,Fort Worth,TX,76107,JeffACarpenter@pookmail.com,male,A+,179.1
Tracy,Crouch,1161 Roosevelt Wilson Lane,San Bernardino,CA,92405,TracyFCrouch@dodgit.com,female,A-,109.1
Chieko,Williams,4202 Kessla Way,Lane,SC,29564,ChiekoDWilliams@trashymail.com,female,A+,129.4
Albert,Mead,2477 Marshall Street,Rock Hall,MD,21790,AlbertMMead@spambob.com,male,A+,228.8
Mary,Dahmen,2766 Terra Street,Redmond,WA,98052,MaryCDahmen@trashymail.com,female,A+,163.2
Ronald,Perrault,4838 Marigold Lane,Coral Gables,FL,33134,RonaldGPerrault@mailinator.com,male,A+,239.4
Mary,Anaya,79 Arrowood Drive,Jacksonville,FL,32257,MaryHAnaya@mailinator.com,female,B+,106.3
Anne,Coleman,3247 Benson Street,Waupaca,WI,54981,AnneCColeman@trashymail.com,female,O-,212.3
Tana,Blizzard,2063 Clinton Street,Eagleville,PA,19403,TanaLBlizzard@trashymail.com,female,O+,152.5
Mary,Fell,67 East Avenue,Scottsdale,AZ,85256,MaryRFell@pookmail.com,female,B+,226.8
Viola,West,4660 Five Points,Baltimore,MD,21202,ViolaBWest@pookmail.com,female,O+,189.6
John,Miller,1962 Tennessee Avenue,Southfield,MI,48075,JohnHMiller@trashymail.com,male,O+,182.2
Angela,Thomas,736 Shobe Lane,Paonia,CO,81428,AngelaCThomas@mailinator.com,female,A+,191
Cassandra,Thomas,1943 Hamilton Drive,Baltimore,MD,21218,CassandraNThomas@pookmail.com,female,A+,128.7
George,Krohn,100 Oakwood Avenue,New York,NY,10011,GeorgeBKrohn@trashymail.com,male,O+,212.7
Jordan,Speed,4506 Davis Lane,Denver,CO,80202,JordanASpeed@spambob.com,male,AB+,192.3
Mary,White,3158 Spring Avenue,Philadelphia,PA,19108,MaryDWhite@spambob.com,female,A+,159.5
John,Diaz,3418 Pinewood Avenue,Marquette,MI,49855,JohnADiaz@dodgit.com,male,A-,222.9
Jim,Reitz,1940 Waldeck Street,Dallas,TX,75207,JimPReitz@mailinator.com,male,AB+,160.8
Nancy,English,3221 Crowfield Road,Phoenix,AZ,85012,NancySEnglish@dodgit.com,female,A+,114.4
Jon,Lockett,657 Lewis Street,Roselle,IL,60172,JonMLockett@mailinator.com,male,A+,207.9
Vera,Baxter,187 Losh Lane,Pittsburgh,PA,15222,VeraBBaxter@trashymail.com,female,A-,110.4
Joseph,Bowman,4168 Coplin Avenue,Phoenix,AZ,85034,JosephTBowman@trashymail.com,male,O+,238
Matthew,Schafer,4984 Hinkle Lake Road,Cambridge,MA,02141,MatthewCSchafer@trashymail.com,male,O+,178.9
Ramon,Haney,2593 Poplar Avenue,San Diego,CA,92139,RamonJHaney@spambob.com,male,AB+,159.1
Michael,Howley,621 Long Street,Ocala,FL,34474,MichaelJHowley@pookmail.com,male,O+,250.1
Lawrence,Wilson,3204 Johnson Street,Garner,NC,27529,LawrenceJWilson@dodgit.com,male,O-,142.6
Jason,Duenas,3636 Poco Mas Drive,Lewisville,TX,75067,JasonEDuenas@pookmail.com,male,A+,189
Andrea,Neuhaus,805 Clarksburg Park Road,Phoenix,AZ,85034,AndreaRNeuhaus@pookmail.com,female,A-,222.4
Susan,Olson,834 Feathers Hooves Drive,New York,NY,10005,SusanGOlson@mailinator.com,female,O+,118.8
Paul,French,1511 Small Street,New York,NY,10038,PaulMFrench@trashymail.com,male,A+,209.4
Jonathan,Watson,4177 Owagner Lane,Burien,WA,98168,JonathanMWatson@pookmail.com,male,O+,207.7
Joan,Chambers,592 Bubby Drive,Austin,TX,78729,JoanEChambers@spambob.com,female,O+,219.3
Terrence,Alexander,3399 Zappia Drive,Covington,KY,41011,TerrenceRAlexander@pookmail.com,male,O+,240.7
Eric,Avila,3341 Valley Street,Pennsville,NJ,08070,EricPAvila@mailinator.com,male,A-,206.8
Johnny,Travis,2976 Leroy Lane,Wasta,SD,57791,JohnnyTTravis@mailinator.com,male,A+,188.8
Alice,Villareal,4296 Bobcat Drive,Detroit,MI,48226,AliceMVillareal@trashymail.com,female,O+,178.4
Linda,Young,1967 Twin House Lane,Mountain Grove,MO,65711,LindaSYoung@pookmail.com,female,B+,206.6
James,Passmore,3166 Braxton Street,Cortland,IL,60112,JamesMPassmore@trashymail.com,male,A+,234.5
Jamie,Klinger,3951 High Meadow Lane,White Haven,PA,18861,JamieAKlinger@mailinator.com,female,O+,224.2
Nicole,Hogan,3006 Railroad Street,Brimley,MI,49715,NicoleTHogan@mailinator.com,female,A+,166.3
Michael,Wilson,2182 Jacobs Street,Pittsburgh,PA,15213,MichaelEWilson@dodgit.com,male,O+,140.6
Eleanor,Barratt,3771 Harley Vincent Drive,Independence,OH,44131,EleanorCBarratt@trashymail.com,female,O+,227
Ramona,Kelley,1469 Crosswind Drive,Bowling Green,KY,42101,RamonaRKelley@spambob.com,female,B+,188.8
Robert,Velazquez,2540 Roosevelt Road,Moundridge,KS,67107,RobertSVelazquez@spambob.com,male,A+,209.4
Antonio,Derrick,229 Johnny Lane,Waukesha,WI,53186,AntonioRDerrick@spambob.com,male,O-,204.4
Emma,Augustine,434 Irving Place,Saint Charles,MO,63301,EmmaFAugustine@pookmail.com,female,O+,119.5
Randall,Hartfield,3278 Green Hill Road,Van Buren,AR,72956,RandallBHartfield@dodgit.com,male,A+,164.1
Morgan,Scott,2037 Fidler Drive,San Antonio,TX,78258,MorganEScott@spambob.com,male,B+,177.5
Frank,Stokes,974 Emily Drive,Hampton,SC,29924,FrankSStokes@trashymail.com,male,O+,220.4
Francisco,Lewis,3895 Sycamore Circle,Dallas,TX,75202,FranciscoCLewis@mailinator.com,male,A+,244.6
Kay,Pettitt,1285 Bluff Street,Silver Spring,MD,20910,KayRPettitt@trashymail.com,female,O+,207
Cheryl,Copley,1211 Fairmont Avenue,Purdin,MO,64674,CherylGCopley@mailinator.com,female,O+,106.5
Doris,Cordova,1730 Freedom Lane,Stockton,CA,95202,DorisJCordova@dodgit.com,female,O+,162.8
Antonio,Schoenfeld,2856 Stutler Lane,South Fork,PA,15956,AntonioESchoenfeld@spambob.com,male,A-,162.8
Robert,Laubach,961 Duke Lane,Branchburg,NJ,08876,RobertRLaubach@mailinator.com,male,AB+,161.7
Kristy,Huey,1513 Kincheloe Road,Portland,OR,97230,KristyCHuey@mailinator.com,female,A+,142.1
Devin,Santiago,3007 Hart Street,Norwich,CT,06360,DevinJSantiago@dodgit.com,male,A+,178.6
Donald,Evans,2576 Walton Street,Murray,UT,84107,DonaldJEvans@spambob.com,male,B+,240.5
Yoshiko,Hall,1853 Crestview Terrace,San Antonio,TX,78205,YoshikoJHall@mailinator.com,female,A+,184.4
Dale,Johnson,4380 Bombardier Way,Columbus,OH,43215,DaleRJohnson@trashymail.com,female,A+,114.8
Debra,Fernandez,3016 Park Boulevard,Killduff,IA,50137,DebraBFernandez@trashymail.com,female,O+,220
Jennifer,Vega,2779 Holt Street,Lake Worth,FL,33463,JenniferSVega@dodgit.com,female,B+,117.3
Bradley,Hickson,845 Preston Street,Erie,KS,66733,BradleyKHickson@dodgit.com,male,O+,188.3
Clifford,Schultz,2698 Chestnut Street,North Gulf Beach,FL,34642,CliffordJSchultz@pookmail.com,male,B+,163.7
Maggie,Godbey,53 Hillcrest Drive,Kent,WA,98032,MaggieAGodbey@spambob.com,female,O+,195.1
John,Samson,3989 Maud Street,Wilmington,DE,19801,JohnRSamson@spambob.com,male,B+,227
Patricia,Smith,2295 Colony Street,Wallingford,CT,06492,PatriciaRSmith@pookmail.com,female,B+,193.8
Holly,Brown,1917 North Bend River Road,London,KY,40741,HollyHBrown@trashymail.com,female,O+,185
Antonio,McNeil,3241 Bassell Avenue,Little Rock,AR,72205,AntonioMMcNeil@spambob.com,male,A+,219.3
Michelle,Richardson,3400 Larry Street,Milwaukee,WI,53216,MichelleERichardson@trashymail.com,female,A+,161.5
Edward,Reynolds,1742 Star Trek Drive,Youngstown,FL,32466,EdwardJReynolds@spambob.com,male,AB+,222.6
Elizabeth,Howells,4132 Karen Lane,Louisville,KY,40299,ElizabethHHowells@spambob.com,female,B+,204.4
Nathan,Walter,4915 Camden Place,Lake City,SC,29560,NathanEWalter@mailinator.com,male,AB+,144.8
Alan,Powers,2692 Vineyard Drive,Cleveland,OH,44115,AlanJPowers@spambob.com,male,O+,216.9
James,Dunkle,3097 Fort Street,Seattle,WA,98101,JamesDDunkle@pookmail.com,male,A+,224
Susan,McCray,2759 Hillhaven Drive,Los Angeles,CA,90036,SusanSMcCray@dodgit.com,female,AB+,137.7
Susan,Andes,2421 Freshour Circle,San Antonio,TX,78205,SusanMAndes@spambob.com,female,O+,203.5
Marcia,Roberts,3925 Emeral Dreams Drive,Streator,IL,61364,MarciaHRoberts@mailinator.com,female,O+,169
Janet,Graham,2961 Peck Street,Londonderry,NH,03053,JanetTGraham@spambob.com,female,A+,133.8
Ralph,Goetz,4721 Pratt Avenue,Snohomish,WA,98290,RalphRGoetz@dodgit.com,male,O+,164.6
Scott,Flores,2980 Webster Street,Rochelle Park,NJ,07662,ScottVFlores@pookmail.com,male,B+,169.8
Collin,Nightingale,1944 Irish Lane,Beetown,WI,53802,CollinJNightingale@trashymail.com,male,O+,222.2
James,Googe,4131 Heavens Way,Rancho Santa Margarita,CA,92688,JamesGGooge@spambob.com,male,O+,219.1
Janelle,Jones,3881 Derek Drive,Lisbon,OH,44432,JanelleRJones@dodgit.com,female,O+,140.8
Briana,Haas,4516 Rubaiyat Road,Grand Rapids,MI,49503,BrianaHHaas@trashymail.com,female,O+,198.4
Julius,Aguon,4352 Emeral Dreams Drive,Burr Ridge,IL,61257,JuliusCAguon@pookmail.com,male,A+,177.3
Rudy,Franklin,1637 Braxton Street,Minooka,IL,60447,RudyBFranklin@spambob.com,male,O+,162.1
Norma,Banda,2547 Watson Street,Camden,NJ,08102,NormaPBanda@trashymail.com,female,O+,137.5
Virgil,Barbosa,4514 Sweetwood Drive,Greenwood Village,CO,80111,VirgilCBarbosa@dodgit.com,male,A+,192.7
Jose,Zimmerman,3137 Trainer Avenue,Pekin,IL,61554,JoseTZimmerman@pookmail.com,male,O+,251.2
Richard,McLemore,75 Locust Street,Americus,GA,31709,RichardAMcLemore@mailinator.com,male,A+,226.2
Jennifer,Smith,4703 Christie Way,Franklin,MA,02038,JenniferWSmith@dodgit.com,female,AB+,165.2
Sharon,Kuo,2121 Oliverio Drive,La Harpe,KS,66751,SharonKKuo@trashymail.com,female,A+,216
